COUNTY,ADDRESS TO,STREET 1,STREET 2,CITY,STATE,ZIP,PHONE
Holmes County,Supervisor of Elections,201 N Oklahoma St,Ste 102,Bonifay,FL,32425,""
Indian River County,Supervisor of Elections,4375 43rd Ave,"",Vero Beach,FL,32967,""
Jackson County,Supervisor of Elections,PO Box 6046,"",Marianna,FL,32447,""
Jefferson County,Supervisor of Elections,380 W Dogwood St,"",Monticello,FL,32344,""
Lafayette County,Supervisor of Elections,PO Box 76,"",Mayo,FL,32066,""
Lake County,Supervisor of Elections,PO Box 457,"",Tavares,FL,32778,""
Lee County,Supervisor of Elections,PO Box 2545,"",Fort Myers,FL,33902,""
Leon County,Supervisor of Elections,PO Box 7357,"",Tallahassee,FL,32314,""
Levy County,Supervisor of Elections,421 S Court St,"",Bronson,FL,32621,""
Liberty County,Supervisor of Elections,PO Box 597,"",Bristol,FL,32321,""
Madison County,Supervisor of Elections,239 SW Pinckney St,"",Madison,FL,32340,""
Manatee County,Supervisor of Elections,PO Box 1000,"",Bradenton,FL,34206,""
Marion County,PO Box 289,"","",Ocala,FL,34478,""
Martin County,Supervisor of Elections,PO Box 1257,"",Stuart,FL,34995,""
Miami-Dade County,Supervisor of Elections,Miami-Dade County,P.O. Box 521250,Miami,FL,33152,""
Monroe County,Supervisor of Elections,530 Whitehead St,Ste 101,Key West,FL,33040,""
Nassau County,Supervisor of Elections,96135 Nassau Place,Ste 3,Yulee,FL,32097,""
Okaloosa County,Supervisor of Elections,"302 Wilson St N, Ste 102","",Crestview,FL,32536,""
Okeechobee County,Supervisor of Elections,"304 NW 2nd St, Rm 144","",Okeechobee,FL,34972,""
Orange County,Supervisor of Elections,PO Box 562001,"",Orlando,FL,32856,""
Osceola County,Supervisor of Elections,2509 E. Irlo Bronson Mem. Hwy,"",Kissimmee,FL,34744,""
Palm Beach County,Supervisor of Elections,PO Box 22309,"",West Palm Beach,FL,33416,""
Pasco County,Supervisor of Elections,PO Box 300,"",Dade City,FL,33526,""
Pinellas County,Supervisor of Elections,13001 Starkey Rd,Starkey Lakes Corporate Center,Largo,FL,33773,""
Polk County,Supervisor of Elections,PO Box 1460,"",Bartow,FL,33831,""
Putnam County,Supervisor of Elections,"2509 Crill Ave, Suite 900","",Palatka,FL,32177,""
Santa Rosa County,Supervisor of Elections,6495 Caroline St Ste F,"",Milton,FL,32570,""
Sarasota County,Supervisor of Elections,P O Box 4194,"",Sarasota,FL,34230,""
Seminole County,Michael Ertel,Supervisor of Elections P.O. Box 1479,1500 E Airport Blvd,Sanford,FL,32773,""
Saint Johns County,Supervisor of Elections,4455 Avenue A,Ste 101,St Augustine,FL,32095,""
Saint Lucie County,Supervisor of Elections,4132 Okeechobee Road,"",Fort Pierce,FL,34947,""
Sumter County,Supervisor of Elections,900 N Main St,"",Bushnell,FL,33513,""
Suwannee County,Supervisor of Elections,220 Pine Ave SW,"",Live Oak,FL,32064,""
Taylor County,Supervisor of Elections,PO Box 1060,"",Perry,FL,32348,""
Union County,Supervisor of Elections,175 West Main Street,"",Lake Butler,FL,32054,""
Volusia County,Supervisor of Elections,125 W. New York Ave,"",DeLand,FL,32720,""
Wakulla County,Supervisor of Elections,PO Box 305,"",Crawfordville,FL,32326,""
Walton County,Supervisor of Elections,571 US Hwy 90 E,Ste 102,DeFuniak Springs,FL,32433,""
Washington County,Supervisor of Elections,1331 South Blvd,Ste 900,Shipley,FL,32428,""
All regions,Guam Election Commission,PO Box BG,"",Hagatna,GU,96932,""
Hawaii County,County Clerk/Elections Division,25 Aupuni St #1502,"",Hilo,HI,96720,""
Kauai County,Elections Division,Office of the County Clerk,4386 Rice St Ste 101,Lihue,HI,96766,""
Maui County,County Clerk,"200 S High St, #708","",Wailuku,HI,96793,""
"Honolulu, City and County",City Clerk,530 S King St Rm 100,"",Honolulu,HI,96813,""
Ada County,Ada County Elections,400 N Benjamin Ln,Suite 100,Boise,ID,83704,""
Adams County,County Clerk-Auditor-Recorder,PO Box 48,"",Council,ID,83612,""
Bannock County,County Clerk,Elections Department,PO Box 6094,Pocatello,ID,83205,""
Bear Lake County,County Clerk,PO Box 190,"",Paris,ID,83261,""
Benewah County,County Clerk,"701 W College Avenue, Ste. 101","",St Maries,ID,83861,""
Bingham County,County Clerk,501 N Maple St Rm 205,"",Blackfoot,ID,83221,""
Blaine County,County Clerk,206 1st Ave South,Suite 200,Hailey,ID,83333,""
Boise County,County Clerk,PO Box 1300,"",Idaho City,ID,83631,""
Bonner County,County Clerk,1500 HWY2 STE 336,"",Sandpoint,ID,83864,""
Bonneville County,County Clerk,605 N Capital Ave,"",Idaho Falls,ID,83402,""
Boundary County,County Clerk,PO Box 419,"",Bonners Ferry,ID,83805,""
Butte County,County Clerk,PO Box 737,"",Arco,ID,83213,""
Camas County,County Clerk,PO Box 430,"",Fairfield,ID,83327,""
Canyon County,Canyon County Elections,1102 E Chicago St,"",Caldwell,ID,83605,""
Caribou County,County Clerk,PO Box 775,"",Soda Springs,ID,83276,""
Cassia County,Cassia County Elections Office,1459 Overland Avenue,Room #105,Burley,ID,83318,""
Clark County,County Clerk,PO Box 205,"",Dubois,ID,83423,""
Clearwater County,County Clerk,PO Box 586,"",Orofino,ID,83544,""
Custer County,County Clerk,PO Box 385,"",Challis,ID,83226,""
Elmore County,County Clerk,150 S 4th E #3,"",Mountain Home,ID,83647,""
Franklin County,County Clerk,39 W Oneida,"",Preston,ID,83263,""
Fremont County,County Clerk,151 W 1st N #12,"",St Anthony,ID,83445,""
Gem County,County Clerk,415 E Main St,"",Emmett,ID,83617,""
Gooding County,County Clerk,PO Box 417,"",Gooding,ID,83330,""
Idaho County,County Clerk,320 W Main St,Room 5,Grangeville,ID,83530,""
Jefferson County,County Clerk-Elections,210 Courthouse Way Ste 100,"",Rigby,ID,83442,""
Jerome County,County Audtor-Recorder,300 N Lincoln,Ste 301,Jerome,ID,83338,""
Kootenai County,Kootenai County Elections ,P.O. Box 9000,"",Coeur d'Alene,ID,83816,""
Latah County,Latah County Clerk,PO Box 8068,"",Moscow,ID,83843,""
Lemhi County,County Clerk,206 Courthouse Drive,"",Salmon,ID,83467,""
Lewis County,County Clerk,510 Oak Street,Room 1,Nezperce,ID,83543,""
Lincoln County,County Clerk,111 West B Street,Suite C,Shoshone,ID,83352,""
Madison County,County Clerk,PO Box 389,"",Rexburg,ID,83440,""
Minidoka County,County Clerk,PO Box 368,"",Rupert,ID,83350,""
Nez Perce County,County Clerk,PO Box 896,"",Lewiston,ID,83501,""
Oneida County,County Clerk,10 Court Street,"",Malad,ID,83252,""
Owyhee County,Owyhee County Elections,20381 State Hwy 78,PO Box 128,Murphy,ID,83650,""
Payette County,Payette County Clerk,1130 3rd Avenue N,Room 104,Payette,ID,83661,""
Power County,County Clerk,543 Bannock Avenue,"",American Falls,ID,83211,""
Shoshone County,County Clerk,700 Bank Street,#120,Wallace,ID,83873,""
Teton County,County Clerk,150 Courthouse Drive,Room 208,Driggs,ID,83422,""
Twin Falls County,County Clerk,PO Box 126,"",Twin Falls,ID,83303,""
Valley County,Valley County Elections,PO Box 1350,"",Cascade,ID,83611,""
Washington County,Washington County Clerk,PO Box 670,"",Weiser,ID,83672,""
Adams County,County Clerk,507 Vermont St,"",Quincy,IL,62301,""
Alexander County,County Clerk,2000 Washington Ave,"",Cairo,IL,62914,""
Bond County,County Clerk,203 W College Ave,"",Greenville,IL,62246,""
Boone County,County Clerk,1212 Logan Ave Ste 103,"",Belvidere,IL,61008,""
Brown County,County Clerk,200 Court St Rm 4,"",Mount Sterling,IL,62353,""
Bureau County,County Clerk,700 S Main St Rm 104,"",Princeton,IL,61356,""
Calhoun County,County Clerk,PO Box 187,"",Hardin,IL,62047,""
Carroll County,County Clerk,P.O. Box 152,"",Mount Carroll,IL,61053,""
Cass County,County Clerk,PO Box 167,"",Virginia,IL,62691,""
Champaign County,County Clerk,PO Box 17127,"",Urbana,IL,61803,""
Christian County,County Clerk,PO Box 647,"",Taylorville,IL,62568,""
City of Aurora,Aurora Board of Election Commissioners,323 W. Galena Blvd,"",Aurora,IL,60506,""
City of Bloomington,City Board of Election Commissioners,PO Box 2400,"",Bloomington,IL,61702,""
City of Chicago,Chicago Board of Election Commissioners,69 W Washington,Suite 600,Chicago,IL,60602,""
City of Danville,Danville Election Commission,6 N Vermilion Street,"Courthouse Annex, 1st Fl",Danville,IL,61832,""
City of East Saint Louis,City Board of Election Commissioners,301 River Park Drive,Suite 300,E. St. Louis,IL,62201,""
City of Galesburg,City Board of Election Commissioners,PO Box 1387,"",Galesburg,IL,61402,""
City of Peoria BEC,City Board of Election Commissioners,542 SW Adams St,"",Peoria,IL,61602,""
City of Rockford,City Board of Election Commissioners,301 S 6th St,"",Rockford,IL,61104,""
Clark County,County Clerk,501 Archer Ave,"",Marshall,IL,62441,""
Clay County,County Clerk,PO Box 160,"",Louisville,IL,62858,""
Clinton County,"Mary Rakers, County Clerk & Recorder",850 Fairfax Street,PO Box 308,Carlyle,IL,62231,""
Coles County,Coles County Clerk,651 Jackson Ave Rm 122,"",Charleston,IL,61920,""
Cook County,Cook County Clerk's Office,Absentee Voting Unit,"69 W Washington Street, Suite 500",Chicago,IL,60602,""
Crawford County,County Clerk,PO Box 616,"",Robinson,IL,62454,""
Cumberland County,County Clerk,PO Box 146,"",Toledo,IL,62468,""
De Kalb County,DeKalb County Clerk/Elections,110 E Sycamore St,"",Sycamore,IL,60178,""
De Witt County,County Clerk,PO Box 439,"",Clinton,IL,61727,""
Douglas County,County Clerk,PO Box 467,"",Tuscola,IL,61953,""
DuPage County,DuPage County Election Commission,421 North County Farm Road,P O Box 1087,Wheaton,IL,60187,""
Edgar County,County Clerk,115 W Court St Rm J,"",Paris,IL,61944,""
Edwards County,County Clerk,50 East Main,"",Albion,IL,62806,""
Effingham County,County Clerk,PO Box 628,"",Effingham,IL,62401,""
Fayette County,County Clerk,PO Box 401,"",Vandalia,IL,62471,""
Ford County,County Clerk,200 West State Street,Room 101,Paxton,IL,60957,""
Franklin County,County Clerk,PO Box 607,"",Benton,IL,62812,""
Fulton County,County Clerk,PO Box 226,"",Lewistown,IL,61542,""
Gallatin County,County Clerk,PO Box 550,"",Shawneetown,IL,62984,""
Greene County,County Clerk,519 N Main St,"",Carrollton,IL,62016,""
Grundy County,County Clerk,PO Box 675,"",Morris,IL,60450,""
Hamilton County,County Clerk,100 S Jackson St Rm 2,"",McLeansboro,IL,62859,""
Hancock County,County Clerk,PO Box 39,"",Carthage,IL,62321,""
Hardin County,County Clerk,PO Box 187,"",Elizabethtown,IL,62931,""
Henderson County,County Clerk,PO Box 308,"",Oquawka,IL,61469,""
Henry County,County Clerk,307 W Center St,"",Cambridge,IL,61238,""
Iroquois County,Iroquois County Clerk,1001 E Grant St,"",Watseka,IL,60970,""
Jackson County,County Clerk,County Courthouse,1001 Walnut St,Murphysboro,IL,62966,""
Jasper County,County Clerk,204 W Washington St Ste 2,"",Newton,IL,62448,""
Jefferson County,"Connie Simmons, County Clerk",100 S 10th St Rm 105,"",Mount Vernon,IL,62864,""
Jersey County,County Clerk,200 N LaFayette St,"",Jerseyville,IL,62052,""
Jo Daviess County,County Clerk,330 North Bench Street,"",Galena,IL,61036,""
Johnson County,County Clerk,PO Box 96,"",Vienna,IL,62995,""
Kane County,County Clerk,PO Box 70,"",Geneva,IL,60134,""
Kankakee County,County Clerk,189 E Court St,"",Kankakee,IL,60901,""
Kendall County,County Clerk,111 W Fox St,"",Yorkville,IL,60560,""
Knox County,County Clerk,200 South Cherry,"",Galesburg,IL,61401,""
La Salle County,County Clerk,707 East Etna Road,"",Ottawa,IL,61350,""
Lake County,County Clerk,18 N County St,"",Waukegan,IL,60085,""
Lawrence County,County Clerk,1100 State Street,Attn:  Elections Department,Lawrenceville,IL,62439,""
Lee County,Lee County Clerk,PO Box 329,"",Dixon,IL,61021,""
Livingston County,County Clerk,112 W Madison St,"",Pontiac,IL,61764,""
Logan County,County Clerk,601 Broadway Street,"",Lincoln,IL,62656,""
Macon County,County Clerk,141 S Main St Rm 104,"",Decatur,IL,62523,""
Macoupin County,County Clerk,PO Box 107,"",Carlinville,IL,62626,""
Madison County,County Clerk,P.O. Box 218,"",Edwardsville,IL,62025,""
Marion County,County Clerk,PO Box 637,"",Salem,IL,62881,""
Marshall County,County Clerk,PO Box 328,"",Lacon,IL,61540,""
Mason County,County Clerk,PO Box 77,"",Havana,IL,62644,""
Massac County,County Clerk,PO Box 429,"",Metropolis,IL,62960,""
McDonough County,County Clerk,McDonough County Courthouse,1 Courthouse Square,Macomb,IL,61455,""
McHenry County,County Clerk,2200 N Seminary Ave,"",Woodstock,IL,60098,""
McLean County,County Clerk,PO Box 2400,"",Bloomington,IL,61702,""
Menard County,County Clerk,PO Box 465,"",Petersburg,IL,62675,""
Mercer County,County Clerk,PO Box 66,"",Aledo,IL,61231,""
Monroe County,County Clerk,100 South Main Street,"",Waterloo,IL,62298,""
Montgomery County,County Clerk,#1 Courthouse Square,PO Box 595,Hillsboro,IL,62049,""
Morgan County,County Clerk,PO Box 1387,"",Jacksonville,IL,62651,""
Moultrie County,County Clerk,10 S Main St Ste 6,"",Sullivan,IL,61951,""
Ogle County,County Clerk,105 S 5th Street - Suite 104,"",Oregon,IL,61061,""
Peoria County,Peoria County Clerk,324 Main Street,Room 101,Peoria,IL,61602,""
Perry County,County Clerk,PO Box 438,"",Pinckneyville,IL,62274,""
Piatt County,County Clerk,PO Box 558,"",Monticello,IL,61856,""
Pike County,County Clerk,121 E Washington St,"",Pittsfield,IL,62363,""
Pope County,County Clerk,PO Box 216,"",Golconda,IL,62938,""
Pulaski County,County Clerk,PO Box 118,"",Mound City,IL,62963,""
Putnam County,County Clerk,PO Box 236,"",Hennepin,IL,61327,""
Randolph County,County Clerk,County Courthouse,1 Taylor St Ste 202,Chester,IL,62233,""
Richland County,County Clerk,103 W Main St,"",Olney,IL,62450,""
Rock Island County,County Clerk,PO Box 3577,"",Rock Island,IL,61204,""
Saline County,Saline County Clerk,Saline County Courthouse,10 E Poplar St,Harrisburg,IL,62946,""
Sangamon County,Sangamon County Clerk,Election Office,200 S 9th St Rm 105,Springfield,IL,62701,""
Schuyler County,County Clerk,PO Box 200,"",Rushville,IL,62681,""
Scott County,County Clerk,35 E Market St,"",Winchester,IL,62694,""
Shelby County,Shelby County Clerk,PO Box 230,"",Shelbyville,IL,62565,""
Saint Clair County,County Clerk,10 Public Sq 2nd Fl,"",Belleville,IL,62220,""
Stark County,County Clerk,PO Box 97,"",Toulon,IL,61483,""
Stephenson County,County Clerk,50 West Douglas Street,Suite 500,Freeport,IL,61032,""
Tazewell County,County Clerk,McKenzie Bldg,"11 S 4th St, Suite 203",Pekin,IL,61554,""
Union County,County Clerk,309 W Market St,"",Jonesboro,IL,62952,""
Vermilion County,County Clerk,6 N Vermilion St,"Courthouse Annex, 1st Fl",Danville,IL,61832,""
Wabash County,County Clerk,PO Box 277,"",Mt. Carmel,IL,62863,""
Warren County,Tina M Conard,Warren County Clerk/Recorder,100 W Broadway,Monmouth,IL,61462,""
Washington County,County Clerk,101 E St Louis St,"",Nashville,IL,62263,""
Wayne County,County Clerk,PO Box 187,"",Fairfield,IL,62837,""
White County,County Clerk,PO Box 339,"",Carmi,IL,62821,""
Whiteside County,County Clerk,200 E Knox St,"",Morrison,IL,61270,""
Will County,County Clerk,302 North Chicago Street,"",Joliet,IL,60432,""
Williamson County,County Clerk,"407 North Monroe St., Suite 119","",Marion,IL,62959,""
Winnebago County,County Clerk,404 Elm St Ste101,"",Rockford,IL,61101,""
Woodford County,County Clerk,115 N Main St Rm 202,"",Eureka,IL,61530,""
Adair County,County Auditor,400 Public Square Ste 5,"",Greenfield,IA,50849,""
Adams County,County Auditor,PO Box 28,"",Corning,IA,50841,""
Allamakee County,County Auditor,110 Allamakee Street,"",Waukon,IA,52172,""
Appanoose County,County Auditor,201 N. 12th Street,"",Centerville,IA,52544,""
Audubon County,County Auditor,318 Leroy Street,Ste. 4,Audubon,IA,50025,""
Benton County,Benton County Auditor,PO Box 549,"",Vinton,IA,52349,""
Black Hawk County,County Auditor/Election Dept.,316 E. 5th Street,Room 210,Waterloo,IA,50703,""
Boone County,County Auditor,201 State Street,"",Boone,IA,50036,""
Bremer County,County Auditor,415 E. Bremer Ave,"",Waverly,IA,50677,""
Buchanan County,County Auditor,PO Box 317,"",Independence,IA,50644,""
Buena Vista County,County Auditor,PO Box 220,"",Storm Lake,IA,50588,""
Butler County,County Auditor,PO Box 325,"",Allison,IA,50602,""
Calhoun County,County Auditor,416 4th Street,Ste.1,Rockwell City,IA,50579,""
Carroll County,County Auditor,114 E. 6th Street,"",Carroll,IA,51401,""
Cass County,County Auditor,5 W. 7th Street,"",Atlantic,IA,50022,""
Cedar County,County Auditor,400 Cedar Street,"",Tipton,IA,52772,""
Cerro Gordo County,County Auditor,220 N Washington Ave,"",Mason City,IA,50401,""
Cherokee County,Cherokee County Auditor,520 W. Main,Drawer H,Cherokee,IA,51012,""
Chickasaw County,County Auditor,Box 311,"",New Hampton,IA,50659,""
Clarke County,County Auditor,100 S. Main,"",Osceola,IA,50213,""
Clay County,County Auditor,300 W. 4th Street,Ste. 4,Spencer,IA,51301,""
Clayton County,Clayton County Auditor,PO Box 416,"",Elkader,IA,52043,""
Clinton County,County Auditor,PO Box 2957,"",Clinton,IA,52733,""
Crawford County,County Auditor,"1202 Broadway, Suite 5","",Denison,IA,51442,""
Dallas County,Dallas County Auditor,910 Court ST,"",Adel,IA,50003,""
Davis County,Davis County Auditor,100 Courthouse Square,Suite 2,Bloomfield,IA,52537,""
Decatur County,County Auditor,207 N Main St,"",Leon,IA,50144,""
Delaware County,County Auditor,"301 E. Main Street, Rm 210","",Manchester,IA,52057,""
Des Moines County,County Auditor,PO Box 784,"",Burlington,IA,52601,""
Dickinson County,County Auditor,1802 Hill Avenue,Suite 1400,Spirit Lake,IA,51360,""
Dubuque County,County Auditor,720 Central Avenue,"",Dubuque,IA,52001,""
Emmet County,County Auditor,609 1st Ave N,"",Estherville,IA,51334,""
Fayette County,County Auditor,PO Box 267,"",West Union,IA,52175,""
Floyd County,County Auditor,101 S. Main Street #302,"",Charles City,IA,50616,""
Franklin County,County Auditor,PO Box 26,"",Hampton,IA,50441,""
Fremont County,County Auditor,506 Filmore,"",Sidney,IA,51652,""
Greene County,County Auditor,114 N. Chestnut,"",Jefferson,IA,50129,""
Grundy County,Grundy County Auditor & Commissioner of Elections,706 G Avenue,"",Grundy Center,IA,50638,""
Guthrie County,County Auditor,200 N. 5th,"",Guthrie Center,IA,50115,""
Hamilton County,County Auditor,2300 Superior Street,Suite 2,Webster City,IA,50595,""
